,active,community,country,label,links,name,title
53,,11,Bulgaria,party,"[Agrarianism, Aleksandar Stamboliyski, Alexi Ivanov, Allan C. Carlson, Alternative Social-Liberal Party, Alternative for Bulgarian Revival, Attack , Bourgeoisie, Bulgaria, Bulgaria for Citizens Movement, Bulgarian Agrarian People's Union-United, Bulgarian Agrarian People's Union ""Aleksandar Stamboliyski"", Bulgarian Agrarian People's Union ""Nikola Petkov"", Bulgarian Agrarian People's Union - People's Union, Bulgarian Business Bloc, Bulgarian Communist Party, Bulgarian Communist Party – Marxists, Bulgarian Euro-Left, Bulgarian Left, Bulgarian New Democracy, Bulgarian People's Union, Bulgarian Social Democratic Workers Party , Bulgarian United Communist Party, Bulgarian Workers' Party/Communist/, Bulgarian Workers and Peasants Party, Bulgarian language, Centrism, Civil Union ""Roma"", Coalition for Bulgaria, Coalition government, Communism, Communist Party of Bulgaria, Communist Workers' Party of Bulgaria, Conservative Party , Constitutional Bloc , Democratic Alliance , Democrats for a Strong Bulgaria, Eastern Europe, Elections in Bulgaria, Fatherland Front , For the Homeland, Foreign Minister of Bulgaria, GERB, George's Day Movement, George Ganchev's Bloc, Georgi Menov, Georgi Traykov, Green Party of Bulgaria, International Agrarian Bureau, Konstantin Muraviev, Liberal Party , Liberal Party , Lider , Lyuben Gotsev, Majority government, Mincho Peychev, Movement for Rights and Freedoms, Movement for Social Humanism, Movement for an Equal Public Model, National Assembly , National Assembly of Bulgaria, National Ideal for Unity, National Liberal Party , National Movement for the Salvation of the Fatherland, National Social Movement , New Time , Nikola Petkov, Nikolay Nenchev, Orange , Orange Guard, Order, Law and Justice, Party of the Bulgarian Communists, Party of the Liberal Alternative and Peace, Patriotic Front , Patriotic Party of Labour, Peasant, Peasants, People's Alliance , People's Liberal Party, People's Party , People's Voice , People for Real, Open and United Democracy, Pirate Party of Bulgaria, Political Movement ""Social Democrats"", Political spectrum, Politics of Bulgaria, Populism, Princeton University Press, Progressive Liberal Party , Proletariat, Radoy Popivanov, Rajko Daskalov, Reformist Bloc, Reload Bulgaria, Resistance Movement ""23rd September"" Bulgaria, Revival , Routledge, Social Democratic Union 'Proletarian', Sofia, Stoyan Ganev, ...]",Bulgarian National Union – New Democracy,bulgarian_national_union_
54,,11,Bulgaria,party,"[Alternative Social-Liberal Party, Alternative for Bulgarian Revival, Asenovgrad, Attack , Boris Yachev, Bulgaria, Bulgaria for Citizens Movement, Bulgarian Agrarian National Union, Bulgarian Business Bloc, Bulgarian Communist Party, Bulgarian Communist Party – Marxists, Bulgarian Euro-Left, Bulgarian Left, Bulgarian New Democracy, Bulgarian Orthodox Church, Bulgarian People's Union, Bulgarian Social Democratic Workers Party , Bulgarian United Communist Party, Bulgarian Workers' Party/Communist/, Bulgarian Workers and Peasants Party, Bulgarian language, Bulgarian nationalism, Bulgarian parliamentary election, 2013, Bulgarian parliamentary election, 2014, Bulgarian presidential election, 2011, Burgas, Chirpan, Civil Union ""Roma"", Coalition for Bulgaria, Communist Party of Bulgaria, Communist Workers' Party of Bulgaria, Conservative Party , Constitutional Bloc , Dancho Hadzhiev, Democratic Alliance , Democrats for a Strong Bulgaria, Dobrich, Elections in Bulgaria, Europe of Freedom and Democracy, Euroscepticism, Flag of Bulgaria, For the Homeland, GERB, George's Day Movement, George Ganchev's Bloc, Green, Green Party of Bulgaria, IMRO – Bulgarian National Movement, Liberal Party , Liberal Party , Lider , Lovech, Middle European Class, Movement for Rights and Freedoms, Movement for Social Humanism, Movement for an Equal Public Model, National Assembly , National Assembly of Bulgaria, National Democratic Party , National Ideal for Unity, National Liberal Party , National Movement for the Salvation of the Fatherland, National Social Movement , New Time , Order, Law and Justice, Party of the Bulgarian Communists, Party of the Liberal Alternative and Peace, Patriotic Front , Patriotic Party of Labour, Pazardzhik, People's Alliance , People's Liberal Party, People's Party , People's Voice , People for Real, Open and United Democracy, Pirate Party of Bulgaria, Plovdiv, Political Movement ""Social Democrats"", Political spectrum, Politics of Bulgaria, President of Bulgaria, Progressive Liberal Party , Red, Reformist Bloc, Religion, Reload Bulgaria, Resistance Movement ""23rd September"" Bulgaria, Revival , SKAT , Shumen, Social Democratic Union 'Proletarian', Stara Zagora, Svilengrad, The Greens , The Other Bulgaria, Undivided Bulgaria, Union of Communists in Bulgaria, Union of Democratic Forces , Union of Free Democrats, Union of the Bulgarian Patriots, ...]",National Front for the Salvation of Bulgaria,national_front_for_the_salvation_of_bulgaria
55,No,1,Germany,movement,"[2006 FIFA World Cup, Adolf Eichmann, Adolf Hitler, Adolf Hitler's rise to power, Adolf von Thadden, African-Americans, Afrikaner Weerstandsbeweging, Albert Spaggiari, Albert Speer, Alexander Barkashov, Alfred Rosenberg, Alliance '90/The Greens, Alliance 90/The Greens, Alliance for Peace and Freedom, Allies of World War II, Alternative for Germany, American Front, American Nazi Party, Amt Rosenberg, Anarchist Pogo Party of Germany, Anders Behring Breivik, Andrew Anglin, Anti-Semitism, Anti-fascism, Anti-globalization movement, Antifaschistisches Pressearchiv und Bildungszentrum Berlin, Antipodean Resistance, Anton Drexler, Arbeitertum, Armin Mohler, Artgemeinschaft, Arthur J. Jones, Artur Axmann, Aryan Guard, Aryan Nations, Aryan Republican Army, Atomwaffen Division, Auschwitz concentration camp, Austria, Azov Battalion, Baden-Württemberg, Baldur von Schirach, Barack Obama, Basic Income Alliance, Basic Law for the Federal Republic of Germany, Bavaria, Bavaria Party, Beer Hall Putsch, Bela Ewald Althans, Berlin, Bert Eriksson, Black, Black Front, Black Order , Blanke Bevrydingsbeweging, Blick nach rechts, Bloed, Bodem, Eer en Trouw, Blood & Honour, Bombing of Dresden in World War II, Bosnian Movement of National Pride, Brandenburg, Bremen, British Movement, Brown, Brown House, Munich, Bundesamt für Verfassungsschutz, Bundesrat , Bundestag, Bürgerrechtsbewegung Solidarität, CEDADE, Canadian Nazi Party, Central Council of Jews in Germany, Centre Party , Christian Centre, Christian Democratic Party, Christian Democratic Union of Germany, Christian Social Union in Bavaria, Christian Social Union of Bavaria, Christian Worch, Citizens in Rage, Colin Jordan, Colin King-Ansell, Combat 18, Communist Party of Germany , Communist Party of Germany , Composition of the German Regional Parliaments, Composition of the German State Parliaments, Counterculture of the 1960s, Creativity , Das Reich , Das Schwarze Korps, David Duke, David Lane , David Myatt, Davud Monshizadeh, Defamation, Denazification, Der Angriff, Deutsche Heidnische Front, Deutsche Rechtspartei, ...]",National Democratic Party,national_democratic_party
56,,3,Poland,party,"[Agrarianism, Alliance , Alliance of Democrats , Andrzej Lepper, Anthrax, Camp of Great Poland, Catholic-National Movement, Catholic People's Party , Centrolew, Christian Democracy , Christian National Union, Christian Union of National Unity, Citizens' Movement for Democratic Action, Civic Platform, Communist Party of Poland, Communist Party of Poland , Confederation of Independent Poland, Confidence and supply, Congress of the New Right, Conservative People's Party , Democratic Left Alliance, Democratic Party – demokraci.pl, Democratic Union , Deputy Prime Minister of the Republic of Poland, EUDemocrats, Economic nationalism, Elections in Poland, Euroscepticism, External debt, Free and Solidary, Freedom Union , Front Morges, Gazeta Wyborcza, Georg-August University of Göttingen, German Minority Electoral Committee, Göttingen, International Standard Book Number, Isolationism, Klewki, Kukiz'15, Labor Party , Labour United, Law and Justice, League and Self-Defense, League of Polish Families, League of the Right of the Republic, Lech Kuropatwiński, Left-wing nationalism, Left-wing populism, Left and Democrats, Leszek Miller, Liberal Democratic Congress, Liberty , Modern , Movement for Reconstruction of Poland, National Democracy, National Movement , National Party , National Party of Retirees and Pensioners, National People's Union, National Radical Camp , National Radical Camp , National Radical Camp ABC, National Radical Camp Falanga, National Revival of Poland, National Workers' Party, Nationalism, Olsztyn, Party of Regions , Peasants' Agreement, People's Party , Pirate Party of Poland, Poland, Poland Comes First, Polish Beer-Lovers' Party, Polish Centre, Polish Christian Democratic Party, Polish Communist Party , Polish Labour Party , Polish People's Party, Polish People's Party ""Piast"" , Polish People's Party ""Wyzwolenie"", Polish United Workers' Party, Polish Workers' Party, Polish language, Polish local elections, 1998, Polish local elections, 2002, Polish local elections, 2006, Polish local elections, 2010, Polish local elections, 2014, Polish nationalism, Polish parliamentary election, 1991, Polish parliamentary election, 1993, Polish parliamentary election, 1997, Polish parliamentary election, 2001, Polish parliamentary election, 2005, Polish parliamentary election, 2007, Polish parliamentary election, 2011, Polish parliamentary election, 2015, Polish presidential election, 1995, ...]",Self-Defence of the Republic of Poland,self_defence_of_the_republic_of_poland
57,,2,Lithuania,party,"[Christian Conservative Social Union, Christian Democratic Union , Christian Party , Civic Democratic Party , Communist Party of Lithuania, Democratic Labour Party of Lithuania, Elections in Lithuania, Electoral Action of Poles in Lithuania, Front Party, Homeland Union, Independence Party , Kaunas, Kaunas city municipality council, Labour Party , Liberal Movement , Liberal Union of Lithuania, Liberal and Centre Union, Lithuania, Lithuanian Centre Party, Lithuanian Centre Union, Lithuanian Christian Democratic Party, Lithuanian Christian Democrats, Lithuanian Democratic Party, Lithuanian Farmers and Greens Union, Lithuanian Freedom Union , Lithuanian Green Party, Lithuanian Liberty League, Lithuanian Liberty Union, Lithuanian National Union, Lithuanian Peasants Party, Lithuanian People's Party, Lithuanian Russian Union, Lithuanian Social Democratic Union, Lithuanian Union of Political Prisoners and Deportees, Lithuanian language, Lithuanian parliamentary election, 2016, Modern Christian-Democratic Union, National Democratic Party of Lithuania, National Resurrection Party, Nationalism, New Democracy Party , New Union , Order and Justice, Party of National Progress, Political spectrum, Politics of Lithuania, Samogitian Party, Seimas, Social Democratic Labour Party of Lithuania, Social Democratic Party of Lithuania, Stanislovas Buškevičius, Sąjūdis, The Way of Courage, Unified Lithuanian National Workers Movement, YES , Young Communist League of Lithuania ]",Young Lithuania,young_lithuania
58,No,22,Greece,movement,"[24th Northwest Territories general election, 29th Saskatchewan general election, 30th Alberta general election, 39th Yukon general election, 41st Legislative Assembly of Ontario, 41st Parliament of Ontario, 42nd British Columbia general election, 42nd Legislative Assembly of Ontario, 42nd Manitoba general election, 42nd Parliament of Ontario, 43rd Canadian federal election, 43rd Ontario general election, 50th Newfoundland and Labrador general election, 66th Prince Edward Island general election, Abacus Data, Alberta Senate nominee elections, Alberta general election, 2015, Alberta provincial electoral districts, Amalgamated Transit Union, Amanda Simard, Andrea Horwath, Andrew Scheer, Angus Reid , Attorney General of Ontario, Barrie , Bernie Farber, Billy Pang, Brad Duguid, Brant , Brantford—Brant , British Columbia general election, 2017, By-elections to the 42nd Canadian Parliament, CBC News, CBC Television, CHCH, CPAC , CTV News, CTV Television Network, Canadian Broadcasting Centre, Canadian Charter of Rights and Freedoms, Canadian Union of Public Employees, Canadian federal election, 2015, Canadian federal electoral redistribution, 2012, Canadians' Choice Party, Candidates of the Ontario general election, 2018, Cap and trade, Carbon pricing, Caroline Mulroney, Childcare, Christina Mitas, Cindy Forster, CityNews, CityTV, Class size, Communist Party of Canada , Consensus Ontario, Conservative Party of Canada, Cultural Action Party , Curricula, Dave Levac, David Akin, David Miller , David Suzuki, Deb Matthews, Deficit spending, Dentistry, Dissolution of parliament, Don Valley West , Doug Ford, Jr., Doug Ford Jr., EKOS Research Associates, Early voting, Education Quality and Accountability Office, Ekos Research Associates, Elections in Canada, Elementary Teachers' Federation of Ontario, Elizabeth May, Energy conservation, Environics, Etobicoke North , Farah Nasser, Forum Research, Freedom Party of Ontario, GO Transit, Gap analysis, Glengarry—Prescott—Russell , Global News, Global Television Network, Go Vegan , Government budget balance, Grant Crack, Green Party of Ontario, Green Party of Ontario leadership election, 2009, Green retrofit, Greg Rickford, Guelph , Hamilton, Ontario, Hamilton Centre , Hamilton West—Ancaster—Dundas , Harinder Takhar, ...]",Party of Free Opinion [5],party_of_free_opinion_[5]
59,No,1,United Kingdom,movement,"[A. K. Chesterton, Adam Walker , Additional Protocol to the Convention on Cybercrime, Adelaide Institute, Adolf Hitler, Afrikaner Weerstandsbeweging, Ahmed Huber, Ahmed Rami , Alain Guionnet, Alan Lake , Albert Spaggiari, Alex Linder, Alexander Barkashov, Alexander Raven Thomson, Ali Khamenei, Alliott Verdon Roe, Alma mater, American Front, American Nazi Party, Anders Behring Breivik, Anders Greif Mathisen, Andrew Anglin, Andrew Brons, Andrew Fountaine, Anglo-German Fellowship, Anne Marie Waters, Anthony Hancock , Anthony Reed Herbert, Antipodean Resistance, Archibald Maule Ramsay, Armenian Genocide denial, Arndt Verlag, Arnold Leese, Artgemeinschaft, Arthur Butz, Arthur J. Jones, Arthur Kemp, Arthur Wellesley, 5th Duke of Wellington, Aryan Guard, Aryan Nations, Aryan Race, Aryan Republican Army, Associated TeleVision, Atomwaffen Division, Augustus Sol Invictus, Austin App, Autonomedia, Azov Battalion, Bali Holocaust Conference, Barry Domvile, Battle of Cable Street, Bela Ewald Althans, Belgian Holocaust denial law, Bernhard Schaub, Bert Eriksson, Bill White , Birmingham, Black Order , Black Sun: Aryan Cults, Esoteric Nazism and the Politics of Identity, Blanke Bevrydingsbeweging, Bloed, Bodem, Eer en Trouw, Blood & Honour, Bloomsbury Academic, Bobby Fischer, Bosnian Movement of National Pride, Bradley R. Smith, Britain First, British Brothers League, British Democratic Party, British Democratic Party , British Empire Party, British Fascists, British Freedom Party, British League of Ex-Servicemen and Women, British League of Rights, British Movement, British National Party, British National Party , British National Party , British National Party election results, British People's Party , British People's Party , British Peoples Party , British Union of Fascists, Britons Publishing Society, By-election, CEDADE, CODOH, Cambodian genocide denial, Canadian Nazi Party, Candour , Carlo Mattogno, Casuals United, Centre for the Study of the Causes of the War, Christian Council of Britain, Christian Dior, Christian Worch, Claude Autant-Lara, Colin King-Ansell, Column 88, ...]",National Socialist Movement (Colin Jordan),national_socialist_movement_(colin_jordan)
60,No,1,United Kingdom,movement,"[A. K. Chesterton, Adam Walker , Alan Lake , Alexander Raven Thomson, Alliott Verdon Roe, Andrew Brons, Andrew Fountaine, Anglo-German Fellowship, Anne Marie Waters, Anthony Hancock , Anthony Reed Herbert, Archibald Maule Ramsay, Arnold Leese, Arthur Kemp, Arthur Wellesley, 5th Duke of Wellington, Barry Domvile, Battle of Cable Street, Blood & Honour, Britain First, British Brothers League, British Democratic Party, British Democratic Party , British Empire Party, British Fascists, British Freedom Party, British League of Ex-Servicemen and Women, British League of Rights, British Movement, British National Front, British National Party, British National Party , British National Party election results, British People's Party , British People's Party , British Union of Fascists, British nationalism, Britons Publishing Society, Candour , Casuals United, Charing Cross Hotel, Charles Parker , Christian Council of Britain, Colin Jordan, Column 88, Combat 18, Conservative Democratic Alliance, Conservative Party , Coventry South West , Croydon North West by-election, 1981, David Copeland, David Myatt, Denis Pirie, Derek Beackon, Derek Holland , Diana Mitford, East End of London, Eddy Butler, Eddy Morrison, Elections in United Kingdom, Enfield Southgate , Enfield Southgate by-election, 1984, England First Party, English Defence League, English Democrats, English National Association, Europe a Nation, Flag Group, Football hooliganism, For Britain, Francis Yeats-Brown, Frank McLardy, Freedom Party , Gerard Wallop, 9th Earl of Portsmouth, Graham Seton Hutchison, Graham Williamson, Greater Britain Movement, Greater London Council election, 1981, Harold Elsdale Goad, Hastings Russell, 12th Duke of Bedford, Hendon North , Henry Drummond Wolff , Henry Hamilton Beamish, Henry Williamson, Homosexuality, House of Commons of the United Kingdom, Hull North , Ian Anderson , Ian Stuart Donaldson, Imperial Fascist League, International Third Position, J. F. C. Fuller, Jack Buckby, Jack Renshaw , James Larratt Battersby, Jayda Fransen, Jeffrey Hamm, John Amery, John Bean, John Beckett , John Graeme Wood, ...]",Constitutional Movement,constitutional_movement
61,,1,United Kingdom,party,"[A Better Britain – Unionist Party, Abstentionism, Alan Sked, Alliance Party of Northern Ireland, Alliance for Direct Democracy in Europe, Alliance of Liberals and Democrats for Europe Group, Amjad Bashir, An Independence from Europe, Andrew Reid , Andrew Smith , Animal Welfare Party, Anne Marie Waters, Anti-fascism, Anti-fascist, Antidisestablishmentarianism, Arron Banks, Ashley Mote, Austerity, BBC, Bank holiday, Barnett formula, Barnsley Central by-election, 2011, Bashar al-Assad, Basildon, Bath , Big business, Bill Etheridge, Bloody Nasty People: The Rise of Britain's Far Right, Blue-collar, Blue-collar worker, Bob Spink, Boston and Skegness , Brexit, Britain First, Britannica Party, British Democratic Party , British Empire, British Fascism, British National Party, British Overseas Territories, British nationalism, British unionism, Britishness, Bruce Lawson, Bruges Group , Burqa, CISTA, Cameron–Clegg coalition, Campaign bus, Candour , Capital punishment in the United Kingdom, Caroline Jones , Castle Point , Charlie Hebdo shooting, Chavs: The Demonization of the Working Class, Christian Party , Christian Peoples Alliance, Christopher Monckton, Christopher Monckton, 3rd Viscount Monckton of Brenchley, Church of England, Civic nationalism, Clacton , Clacton by-election, 2014, Classical liberalism, Climate Change Act 2008, Climate change denial, Co-operative Party, ComRes, Common sense, Commonwealth of Nations, Communist Party of Britain, Congress of the New Right, Conservative Party , Cornish Assembly, Cornish Constitutional Convention, Cornish nationalism, Craig Mackinlay, Cross-Community Labour Alternative, Crossbencher, Crown Estate, Cymru Annibynnol, Cymru Sovereign, Daily Express, Daily Mail, Daily Mirror, Daily Star , Daily Star Sunday, Daniel Trilling, David Cameron, David Campbell-Bannerman, David Campbell Bannerman, David Coburn , David Kurten, David Lott, David McNarry, David Rowlands , Democratic Unionist Party, Derek Clark, Devolution in the United Kingdom, Diane James, ...]",United Kingdom Independence Party,united_kingdom_independence_party
62,No,0,Netherlands,movement,"[1934 Montreux Fascist conference, 23rd SS Volunteer Panzer Grenadier Division Nederland, 34th SS Volunteer Grenadier Division Landstorm Nederland, 4th SS Volunteer Panzergrenadier Brigade Netherlands, 4th of August Regime, 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Actual idealism, Adolf Hitler, Adolf Hitler's rise to power, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Alfred Haighton, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Algemeene Bond van RK-kiesverenigingen, Allach , Allgemeine-SS, Alliance for National Reconstruction, Alliance for the Democratization of the Army, Alphonse de Châteaubriant, Alt-right, American Nazi Party, An Essay on the Inequality of the Human Races, Anastasy Vonsiatsky, Ankie Broekers-Knol, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-Revolutionary Party, Anti-communism, Anti-fascism, Anti-semitism, Antisemitism, Anton Mussert, Antwerp, Ardengo Soffici, Arditi, Aria Party, Arnold Meijer, Arrow Cross Party, Art of the Third Reich, Arthur Seyss-Inquart, Arthur de Gobineau, Aryan race, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis powers, Azure Party, BES islands, BMGN, Battle of the Netherlands, Beer Hall Putsch, Belgian Congo, Benito Mussolini, Black Brigades, Black Front, Black Front , Blackshirts, Blood and Soil, Blue Shirts Society, Blueshirts, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, British People's Party , British Union of Fascists, Cabinet of the Netherlands, Canadian Union of Fascists, Carl Schmitt, Carlo Costamagna, Carola Schouten, Catholic National Party, Catholic People's Party, Centre Democrats , Centre Party '86, Centre Party , Chamber of Fasci and Corporations, Charter for the Kingdom of the Netherlands, Christian Democratic Party , Christian Democratic Union , Christian Historical Party, Christian Historical Union, Christian Historical Voters' League, Christian Social Party , Christian democracy in the Netherlands, Christofascism, Class collaboration, Clerical People's Party, Clerical fascism, ...]",Nationaal-Socialistische Beweging,nationaal_socialistische_beweging
63,No,0,Greece,movement,"[13th Light Bomber Squadron, 1934 Montreux Fascist conference, 1944 Greek Armed Forces mutiny, 1 May 1944 Kaisariani executions, 24th Infantry Division Pinerolo, 335th Squadron , 336th Bomber Squadron , 3rd Greek Mountain Brigade, 4th of August Regime, 5/42 Evzone Regiment , 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Actual idealism, Adolf Hitler, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Alexander Andrae, Alexander Löhr, Alexandros Papagos, Alexandros Svolos, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Alikianos executions, Allach , Alphonse de Châteaubriant, Alt-right, Anastasy Vonsiatsky, Andon Kalchev, Andreas Tzimas, Angelico Carta, Angelos Evert, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-communism, Anti-fascism, Antisemitism, Ardengo Soffici, Arditi, Aris Velouchiotis, Arrow Cross Party, Art of the Third Reich, Athens, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis occupation of Greece, Axis occupation of Greece during World War II, Axis powers, Balkan Campaign , Battle of Agia Kyriaki, Battle of Agorelitsa, Battle of Crete, Battle of Dodona, Battle of Elaia–Kalamas, Battle of Fardykambos, Battle of Greece, Battle of Hill 731, Battle of Himara, Battle of Kleisoura Pass, Battle of Korytsa, Battle of Menina, Battle of Meritsa, Battle of Mikro Chorio, Battle of Milia, Battle of Morava–Ivan, Battle of Pindus, Battle of Porta, Battle of Rimini , Battle of Ryka, Battle of Saranda, Battle of Sarantaporo , Battle of Skala Paramythias, Battle of Steiri, Battle of Thermopylae , Battle of Trahili, Battle of Trebeshina, Battle of Vevi , Battle of Xirovouni, Battle of the Metaxas Line, Beer Hall Putsch, Benito Mussolini, Biographical Dictionary of the Extreme Right Since 1890, Black Brigades, Black Front , Blackshirts, Blue Shirts Society, Blueshirts, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, ...]",Greek National Socialist Party [3],greek_national_socialist_party_[3]
64,Yes,0,Austria,movement,"[Adam Smith , Al From, Al Gore, Alaska, Allyson Schwartz, Arkansas, Barack Obama, Ben Nelson, Bill Clinton, Bill Nelson , Blanche Lincoln, Bob Graham, Bruce Babbitt, Cal Dooley, Centrism, Chuck Robb, Claire McCaskill, Climate change, Clintonism, Coalition for a Democratic Majority, Colorado, Congressional caucus, Connecticut, Cultural liberalism, Delaware, Democratic Leadership Council, Democratic Party , Dick Gephardt, Economic liberalism, Education reform, Energy policy of the United States, Evan Bayh, Fiscal conservatism, Florida, Gerry Connolly, Government budget deficit, Harold Ford Jr., Harry Reid, Health care reform, Herb Kohl, Hillary Clinton, Indiana, Jared Polis, Jeanne Shaheen, Jim Davis , Jim Himes, Jim Moran, Joe Lieberman, John Carney , John Edwards, John Kerry, Kay Hagan, Lawton Chiles, Louisiana, Mark Begich, Mark Pryor, Mark Udall, Mark Warner, Mary Landrieu, Michael Bennet, Missouri, Modern liberalism in the United States, MyDD, Nebraska, New Democrat Coalition, New Democrat Network, New Democrats, New Hampshire, North Carolina, Party leaders of the United States Senate, Paul Tsongas, Presidency of Barack Obama, Progressive Policy Institute, Radical centrism, Red states and blue states, Republican Party , Rick Larsen, Ron Kind, Sam Nunn, Senate Centrist Coalition, Social liberalism, Subprime mortgage crisis, Susan Davis , Swing state, Third Way, Third Way , Thomas R. Carper, Tim Roemer, Tom Carper, United States House of Representatives, United States Senate, Virginia, Will Marshall, Wisconsin]",Working Group for Democratic Politics,working_group_for_democratic_politics
65,No,3,Poland,movement,"[Alliance , Alliance of Democrats , Arthur Pankrantz, Berlin, Bielsko, Bielszowice, Bund für Arbeiterbildung, Bydgoszcz, Camp of Great Poland, Catholic-National Movement, Catholic People's Party , Centrolew, Chorzów, Christian Democracy , Christian National Union, Christian Union of National Unity, Citizens' Movement for Democratic Action, Civic Platform, Communist Party of Poland, Communist Party of Poland , Confederation of Independent Poland, Congress of the New Right, Conservative People's Party , Democratic Left Alliance, Democratic Party – demokraci.pl, Democratic Union , Düsseldorf, Elections in Poland, Free and Solidary, Freedom Union , Front Morges, General Jewish Labour Bund in Poland, German Labour Party of Poland, German Minority Electoral Committee, German Social Democratic Party of Poland, German language, German people, Henryk Ehrlich, Herman Diamand, Interbellum, Jew, Johann Kowoll, Johannes Stelling, Katowice, Kattowitzer Volkswille, Kukiz'15, Labor Party , Labour United, Law and Justice, League of Polish Families, League of the Right of the Republic, Left and Democrats, Liberal Democratic Congress, Liberty , Lodzer Volkszeitung, Modern , Movement for Reconstruction of Poland, National Democracy, National Movement , National Party , National Party of Retirees and Pensioners, National People's Union, National Radical Camp , National Radical Camp , National Radical Camp ABC, National Radical Camp Falanga, National Revival of Poland, National Workers' Party, Party of Regions , Peasants' Agreement, People's Party , Pirate Party of Poland, Poland, Poland Comes First, Polish Beer-Lovers' Party, Polish Centre, Polish Christian Democratic Party, Polish Communist Party , Polish Labour Party , Polish People's Party, Polish People's Party ""Piast"" , Polish People's Party ""Wyzwolenie"", Polish United Workers' Party, Polish Workers' Party, Polish language, Politics of Poland, Popular National Union, Razem, Real Politics Union, Reason Party , Right Wing of the Republic, Sejm, Self-Defence of the Republic of Poland, Senate of Poland, Siegmund Glücksmann, Silesia, Silesian Autonomy Movement, Social Alliance , Social Democracy, Social Democracy of Poland, ...]",Young German Party in Poland (JDP),young_german_party_in_poland_(jdp)
66,,2,Italy,party,"[2018 Italian government formation, Abruzzo, Achille Tramarin, Administer Trentino, Adnkronos, Affaritaliani, Afghanistan, African Americans, Agnelli family, Agrarianism, Alberto Bagnai, Alberto da Giussano, Alessandria, Alessandro Canelli, Alessandro Cè, Alessandro Fagioli, Alessandro Patelli, Alitalia, Alliance of Liberals and Democrats for Europe, Alternative for Germany, Alto Adige in the Heart, Andrea Cassani, Andrea Gibelli, Andrea Sala , Angela Maraventano, Angelo Alessandri, Angelo Colli, Angelo Panebianco, Angelo Rocchi, Anti-clericalism, Anti-globalism, Anti-globalization movement, Aosta Valley, Article 1 – Democratic and Progressive Movement, Artificial insemination, Associative Movement Italians Abroad, Attilio Fontana, Augusto Arizzi, Austria, Autonomism , Autonomous administrative division, Autonomy Liberty Participation Ecology, Autonomy and Rights, Aymeric Chauprade, Belgium, Benedetto Della Vedova, Berlusconi IV Cabinet, Berlusconi I Cabinet, Bernardino Bosio, Big tent, Black people, Brescia Oggi, Brothel, Brothers of Italy, Bruno Salvadori, Bulgaria, Bureaucracy, Cannabis , Cantù, Carroccio, CasaPound, Cascina, Castelfranco Veneto, Catholic social teaching, Celts, Central Italy, Centralisation, Centre-left coalition, Centre-right coalition, Centre-right in Italy, Centrism, Chamber of Deputies , Che Guevara, Christian Democracy , Christian Democratic Centre, Christian Popular Union, Christian democracy, Citizens' Union for South Tyrol, Citizens in Rage, Civic Choice, Civic Commitment, Civil defense, Civil union, Claudio Borghi , Cologno Monzese, Common Agricultural Policy, Communist Refoundation Party, Comparative European Politics, Composition of Regional Councils of Italy, Congress of the New Right, Conservative Party , Conservative liberalism, Constitutional Court of Italy, Conte Cabinet, Corriere della Sera, Corsico, Czech Republic, Daniele Molgora, Darfur, Davide Boni, ...]",Lega Nord,lega_nord
